Accuracy,Precision,Recall,Specificity,F1-Score,ROC-AUC,Split_Index,Epoch,Training_Accuracy,Training_Val_Accuracy,Training_Loss,Training_Val_Loss,Training_F1,Training_Val_F1,Training_AUC,Training_Val_AUC,Training_Precision,Training_Val_Precision,Training_Recall,Training_Val_Recall,Training_Specificity,Training_Val_Specificity,Training_TN,Training_FP,Training_FN,Training_TP
0.5484,0.5484,1.0,0.0,0.7083,0.9454,2,1,0.5484,0.5483871102333069,1.9741283655166626,0.8463738560676575,0.7083,,0.9454,,0.5484,,1.0,,0.0,,0,14,0,17
0.6129,1.0,0.2941,1.0,0.4545,0.9664,2,2,0.6129,0.6129032373428345,0.3839913308620453,0.8060762882232666,0.4545,,0.9664,,1.0,,0.2941,,1.0,,14,0,12,5
0.8387,1.0,0.7059,1.0,0.8276,0.9832,2,3,0.8387,0.8387096524238586,0.344406396150589,0.3179318904876709,0.8276,,0.9832,,1.0,,0.7059,,1.0,,14,0,5,12
0.7419,1.0,0.5294,1.0,0.6923,0.9832,2,4,0.7419,0.7419354915618896,0.14682240784168243,0.5915614366531372,0.6923,,0.9832,,1.0,,0.5294,,1.0,,14,0,8,9
0.9032,0.9375,0.8824,0.9286,0.9091,0.9832,2,5,0.9032,0.9032257795333862,0.23345473408699036,0.20172645151615143,0.9091,,0.9832,,0.9375,,0.8824,,0.9286,,13,1,2,15
0.6129,1.0,0.2941,1.0,0.4545,0.9832,2,6,0.6129,0.6129032373428345,0.1393154412508011,1.028037190437317,0.4545,,0.9832,,1.0,,0.2941,,1.0,,14,0,12,5
0.9032,0.8889,0.9412,0.8571,0.9143,0.9874,2,7,0.9032,0.9032257795333862,0.22235240042209625,0.1819033920764923,0.9143,,0.9874,,0.8889,,0.9412,,0.8571,,12,2,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9874,2,8,0.9355,0.9354838728904724,0.0647365152835846,0.16756656765937805,0.9412,,0.9874,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9874,2,9,0.9355,0.9354838728904724,0.024142609909176826,0.18380582332611084,0.9412,,0.9874,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9874,2,10,0.9355,0.9354838728904724,0.01267179287970066,0.1901257336139679,0.9412,,0.9874,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.979,2,11,0.9355,0.9354838728904724,0.007875326089560986,0.20292234420776367,0.9412,,0.979,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.979,2,12,0.9355,0.9354838728904724,0.0050803739577531815,0.21414169669151306,0.9412,,0.979,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.979,2,13,0.9355,0.9354838728904724,0.0035684844478964806,0.22487673163414001,0.9412,,0.979,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,14,0.9355,0.9354838728904724,0.002230698009952903,0.23501546680927277,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,15,0.9355,0.9354838728904724,0.001762250205501914,0.2424691766500473,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,16,0.9355,0.9354838728904724,0.0012870669597759843,0.25315672159194946,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,17,0.9355,0.9354838728904724,0.0009369762847200036,0.2631817162036896,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,18,0.9355,0.9354838728904724,0.0006869758944958448,0.27148184180259705,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,19,0.9355,0.9354838728904724,0.0006641623913310468,0.2745741009712219,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,20,0.9355,0.9354838728904724,0.0005641214083880186,0.2799355983734131,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,21,0.9355,0.9354838728904724,0.00046827958431094885,0.283599853515625,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,22,0.9355,0.9354838728904724,0.0004939078353345394,0.2872917056083679,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,23,0.9355,0.9354838728904724,0.0004374661366455257,0.29028981924057007,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,24,0.9355,0.9354838728904724,0.00037483242340385914,0.29362592101097107,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,25,0.9355,0.9354838728904724,0.00030938899726606905,0.2963240444660187,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,26,0.9355,0.9354838728904724,0.0002989617642015219,0.3001219630241394,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,27,0.9355,0.9354838728904724,0.0002681538462638855,0.3038967549800873,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,28,0.9355,0.9354838728904724,0.00023572029022034258,0.30739814043045044,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,29,0.9355,0.9354838728904724,0.000264909554971382,0.30956897139549255,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,30,0.9355,0.9354838728904724,0.00020496876095421612,0.3113853335380554,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,31,0.9355,0.9354838728904724,0.00020485333516262472,0.3130868375301361,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,32,0.9355,0.9354838728904724,0.00020390274585224688,0.31503185629844666,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,33,0.9355,0.9354838728904724,0.00020192944793961942,0.3162027895450592,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,34,0.9355,0.9354838728904724,0.00017797737382352352,0.3177897036075592,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,35,0.9355,0.9354838728904724,0.00016784285253379494,0.31902098655700684,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,36,0.9355,0.9354838728904724,0.00017298031889367849,0.3202350437641144,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,37,0.9355,0.9354838728904724,0.0001608979218872264,0.3220146894454956,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,38,0.9355,0.9354838728904724,0.00015186058590188622,0.3234141170978546,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,39,0.9355,0.9354838728904724,0.00015646549582015723,0.324103444814682,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,40,0.9355,0.9354838728904724,0.0001615673245396465,0.3248235881328583,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,41,0.9355,0.9354838728904724,0.0001826401858124882,0.3254662752151489,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,42,0.9355,0.9354838728904724,0.00014339254994411021,0.3259655237197876,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,43,0.9355,0.9354838728904724,0.00015097642608452588,0.3267313838005066,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,44,0.9355,0.9354838728904724,0.00013927798136137426,0.32731589674949646,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,45,0.9355,0.9354838728904724,0.00013353573740459979,0.3277672231197357,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,46,0.9355,0.9354838728904724,0.00014668022049590945,0.32820606231689453,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,47,0.9355,0.9354838728904724,0.0001551199529785663,0.328697144985199,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,48,0.9355,0.9354838728904724,0.0001466012472519651,0.32970407605171204,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,49,0.9355,0.9354838728904724,0.0001424228394171223,0.32990309596061707,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,50,0.9355,0.9354838728904724,0.00013422121992334723,0.33019381761550903,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,51,0.9355,0.9354838728904724,0.000130858548800461,0.3304429352283478,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,52,0.9355,0.9354838728904724,0.00013066809333395213,0.330709308385849,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,53,0.9355,0.9354838728904724,0.00013280718121677637,0.3310511112213135,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,54,0.9355,0.9354838728904724,0.00012515310663729906,0.3314213454723358,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,55,0.9355,0.9354838728904724,0.00012193632574053481,0.33171984553337097,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,56,0.9355,0.9354838728904724,0.0001224172010552138,0.33195745944976807,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,57,0.9355,0.9354838728904724,0.0001115980267059058,0.3321983516216278,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
0.9355,0.9412,0.9412,0.9286,0.9412,0.9748,2,58,0.9355,0.9354838728904724,0.00012391331256367266,0.3323512673377991,0.9412,,0.9748,,0.9412,,0.9412,,0.9286,,13,1,1,16
